"METRIC","SC","AC_5","Pw","Pr","Pj","Sb","Sw","Bf","Ce","La","He","Po","Bw","Mh","OH"
"BA",1,210,44.40,45.30,20.40,37.70,38.80,37.70,25.80,25.80,39.40,15.00,22.00,39.40,39.40
"BA",1,215,44.40,45.30,20.10,37.50,38.60,37.50,25.60,25.60,39.40,14.00,21.70,39.40,39.40
"BA",1,220,44.40,45.30,19.80,37.30,38.40,37.30,25.50,25.50,39.40,13.00,21.40,39.40,39.40
"BA",1,225,44.40,45.30,19.50,37.10,38.20,37.10,25.30,25.30,39.40,12.00,21.10,39.40,39.40
"BA",1,230,44.40,45.30,19.20,36.90,38.00,36.90,25.10,25.10,39.40,11.00,20.80,39.40,39.40
"BA",1,235,44.40,45.30,18.90,36.70,37.80,36.70,24.90,24.90,39.40,10.00,20.50,39.40,39.40
"BA",1,240,44.40,45.30,18.60,36.50,37.60,36.50,24.70,24.70,39.40,9.00,20.20,39.40,39.40
"BA",1,245,44.40,45.30,18.60,36.50,37.60,36.50,24.70,24.70,39.40,9.00,20.20,39.40,39.40
"BA",1,250,44.40,45.30,18.60,36.50,37.60,36.50,24.70,24.70,39.40,9.00,20.20,39.40,39.40
"BA",2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"BA",2,10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"BA",2,15,19.20,16.30,16.70,6.40,6.60,6.40,4.50,4.50,7.60,14.50,7.60,7.60,7.60
"BA",2,20,24.10,21.80,19.50,10.00,10.30,10.00,7.00,7.00,9.60,17.70,10.80,9.60,9.60
"BA",2,25,27.60,26.80,31.40,13.30,13.70,13.30,9.30,9.30,11.50,20.70,13.70,11.50,11.50
"BA",2,30,30.30,31.00,22.70,16.20,16.70,16.20,11.30,11.30,13.20,23.20,16.20,13.20,13.20
"BA",2,35,32.30,34.40,23.70,18.70,19.30,18.70,13.10,13.10,14.80,25.40,18.50,14.80,14.80
"BA",2,40,33.80,36.50,24.40,21.00,21.60,21.00,14.70,14.70,16.30,27.10,20.20,16.30,16.30
