RECNO,REGION,FIELD,SQL_ORDER,SQL_NAME,SQL_SYNTAX,EASY_NAME,Edited,Comments
12,NWBOR,SFU,7,SBSHA,(Sb >= 70 And PO+PT+PL+ Bw <= 20 And EcoGrp = 'ShalES'),,originally (EcoGrp = 'ConLow') Or (EcoGrp = 'HwdLow' And AllCon > AllHwd),"Larry used to group PO, PT, PL to PO. Now that they are separate, I must edit this script. Verified with G Beemer's SQL."
13,NWBOR,SFU,8,SBDEE,(Sb >= 70 And PO+PT+PL+ Bw <= 20),,originally (Sb >= 70 And Po + Bw <= 20),"Larry used to group PO, PT, PL to PO. Now that they are separate, I must edit this script. Verified with G Beemer's SQL."
14,NWBOR,SFU,9,PJSHA,(Pj >= 70 And PO+PT+PL+ Bw <= 20 and EcoGrp='ShalES') Or (Pj >= 50 And PO+PT+PL+ Bw <= 20 And AGE >= 120 And EcoGrp = 'ShalES'),,originally (Pj >= 70 And Po + Bw <= 20 and EcoGrp='ShalES') Or (Pj >= 50 And Po + Bw <= 20 And AGE >= 120 And EcoGrp = 'ShalES'),"Larry used to group PO, PT, PL to PO. Now that they are separate, I must edit this script. Verified with G Beemer's SQL."
15,NWBOR,SFU,10,PJDEE,"(Pj >= 70 And PO+PT+PL + Bw <= 20) Or (Pj >= 50 And PO+PT+PL + Bw <= 20 And AGE >= 120) Or (Pj >= 70 And EcoNum in (34,35))",,originally (Pj >= 70 And Po + Bw <= 20) Or (Pj >= 50 And Po + Bw <= 20 And AGE >= 120) Or (Pj >= 70 And (EcoNum = 34 or EcoNum = 35)),"Larry used to group PO, PT, PL to PO. Now that they are separate, I must edit this script. Verified with G Beemer's SQL."
16,NWBOR,SFU,11,POSHA,(PO+PT+PL >= 70 And EcoGrp = 'ShalES'),,originally (Po >= 70 And EcoGrp = 'ShalES'),"Larry used to group PO, PT, PL to PO. Now that they are separate, I must edit this script. Verified with G Beemer's SQL."
17,NWBOR,SFU,12,PODEE,(PO+PT+PL>= 70),,originally (Po >= 70),"Larry used to group PO, PT, PL to PO. Now that they are separate, I must edit this script. Verified with G Beemer's SQL."
18,NWBOR,SFU,13,BWSHA,(Bw >= 60 And PO+PT+PL + Bw >= 70 And EcoGrp = 'ShalES'),,originally (Bw >= 60 And Po + Bw >= 70 And EcoGrp = 'ShalES'),"Larry used to group PO, PT, PL to PO. Now that they are separate, I must edit this script. Verified with G Beemer's SQL."
19,NWBOR,SFU,14,BWDEE,(Bw >= 60 And PO+PT+PL + Bw >= 70),,originally (Bw >= 60 And Po + Bw >= 70),"Larry used to group PO, PT, PL to PO. Now that they are separate, I must edit this script. Verified with G Beemer's SQL."
20,NWBOR,SFU,15,OTHHD,(Uh + Lh >= 30),,,
21,NWBOR,SFU,16,SBMX1,AllCon >= 70 And Bf <= 10 And PO+PT+PL + Bw <= 20 And Sb + Sw > Pj And Sb + Sw + Pj >= 40,,AllCon >= 70 And Bf <= 10 And Po + Bw <= 20 And Sb + Sw > Pj And Sb + Sw + Pj >= 40,"Larry used to group PO, PT, PL to PO. Now that they are separate, I must edit this script. Verified with G Beemer's SQL."
22,NWBOR,SFU,17,PJMX1,AllCon >= 70 And Bf <= 10 And PO+PT+PL + Bw <= 20 And Sb + Sw <= Pj And Sb + Sw + Pj >= 40,,AllCon >= 70 And Bf <= 10 And Po + Bw <= 20 And Sb + Sw <= Pj And Sb + Sw + Pj >= 40,"Larry used to group PO, PT, PL to PO. Now that they are separate, I must edit this script. Verified with G Beemer's SQL."
23,NWBOR,SFU,18,BFPUR,(Bf >= 70),,,
24,NWBOR,SFU,19,BFMX1,(AllCon >= 70 And Bf > 10 And Bf + Sw >= 30),,,
25,NWBOR,SFU,20,HRDOM,(AllHwd >= 70),,,
26,NWBOR,SFU,21,HRDMW,(AllHwd >= 50),,,
27,NWBOR,SFU,22,CONMX,(AllCon > 50),,,
28,NWBOR,SFU,23,HRDMW,(AllHwd >= AllCon),,,
