METRIC,SC,AC_5,Pw,Pr,Pj,Sb,Sw,Bf,Ce,La,He,Po,Bw,Mh,OH
BA,2,245,41.3,42.7,17.4,30.4,31.3,30.4,14.9,14.9,34.6,5.2,11,34.6,34.6
BA,2,250,41.3,42.7,17.4,30.4,31.3,30.4,14.9,14.9,34.6,5.2,11,34.6,34.6
BA,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,3,15,8.8,12.7,10.6,0,0,0,0,0,5.3,10.3,5.9,5.3,5.3
BA,3,20,13.9,15.5,14,0,0,0,0,0,7.4,13.5,9,7.4,7.4
BA,3,25,18.3,20.2,16.4,3.8,3.9,3.8,2.7,2.7,9.4,16.6,11.9,9.4,9.4
BA,3,30,21.9,24.1,18.2,7.3,7.5,7.3,5.1,5.1,11.2,19,14.5,11.2,11.2
BA,3,35,24.9,27.4,19.4,10.3,10.6,10.3,7.2,7.2,12.9,21.3,16.4,12.9,12.9
BA,3,40,27.2,29.9,20.3,13,13.4,13,9.1,9.1,14.4,32.2,18,14.4,14.4
BA,3,45,28.9,32,21.1,15.5,16,15.5,10.9,10.9,15.8,24.7,18.9,15.8,15.8
BA,3,50,30.3,33.7,21.7,17.8,18.3,17.8,12.5,12.5,17.1,26.2,19.8,17.1,17.1
BA,3,55,31.3,35.1,22.3,19.9,20.5,19.9,13.9,13.9,18.3,27.2,19.9,18.3,18.3
BA,3,60,32.2,36.2,22.7,21.8,22.5,21.8,15.3,15.3,19.4,28.1,20.2,19.4,19.4
BA,3,65,32.9,37.2,23,23.6,24.3,23.6,16.5,16.5,20.4,28.8,20.4,20.4,20.4
BA,3,70,33.5,38,23.3,25.2,26,25.2,17.6,17.6,21.4,29.2,20.4,21.4,21.4
BA,3,75,34,38.6,23.5,26.6,27.4,26.6,18.6,18.6,22.3,29.5,20.5,22.3,22.3
BA,3,80,34.4,39.1,23.7,27.9,28.7,27.9,19.5,19.5,23.1,29.6,20.6,23.1,23.1
BA,3,85,34.7,39.5,23.8,29.1,30,29.1,20.4,20.4,23.9,29.6,20.6,23.9,23.9
BA,3,90,34.9,39.9,23.9,30.2,31.1,30.2,21.1,21.1,24.6,29.6,20.4,24.6,24.6
BA,3,95,35.1,40.2,23.9,31.2,32.1,31.2,21.8,21.8,25.3,29.5,20.2,25.3,25.3
BA,3,100,35.3,40.4,23.5,32,33,32,22.4,22.4,25.9,29.5,20,25.9,25.9
BA,3,105,35.4,40.6,23.1,32.7,33.7,32.7,22.9,22.9,26.5,29,19.8,26.5,26.5
BA,3,110,35.4,40.7,22.7,33.3,34.3,33.3,23.3,23.3,27,28.5,19.6,27,27
BA,3,115,35.4,40.8,22.3,33.8,34.8,33.8,23.7,23.7,27.5,28,19.4,27.5,27.5
BA,3,120,35.5,40.9,21.9,34.2,35.2,34.2,23.9,23.9,27.9,27.5,19.2,27.9,27.9
BA,3,125,35.5,41,21.5,34.5,35.5,34.5,24.2,24.2,28.4,27,19,28.4,28.4
BA,3,130,35.6,41,21.1,34.7,35.7,34.7,24.3,24.3,28.7,26.5,18.8,28.7,28.7
BA,3,135,35.6,41,20.7,34.8,35.8,34.8,24.4,24.4,29.1,26,18.6,29.1,29.1
BA,3,140,35.6,41.1,20.3,34.9,35.9,34.9,23.5,23.5,29.4,25.5,18.4,29.4,29.4
BA,3,145,35.6,41.1,19.9,34.7,35.7,34.7,22.6,22.6,29.6,25,18.2,29.6,29.6
BA,3,150,35.7,41.2,19.5,34.5,35.5,34.5,21.8,21.8,29.9,24.5,18,29.9,29.9
BA,3,155,35.7,41.2,19.1,34.3,35.3,34.3,20.9,20.9,30.1,24,17.8,30.1,30.1
BA,3,160,35.7,41.2,18.7,34.1,35.1,34.1,20.1,20.1,30.3,23.5,17.6,30.3,30.3
BA,3,165,35.7,41.2,18.3,33.9,34.9,33.9,19.2,19.2,30.5,23,17.4,30.5,30.5
BA,3,170,35.7,41.2,17.9,33.7,34.7,33.7,18.3,18.3,30.7,22.5,17.2,30.7,30.7
BA,3,175,35.8,41.2,17.5,33.5,34.5,33.5,17.5,17.5,30.8,22,17,30.8,30.8
BA,3,180,35.8,41.2,17.1,33.3,34.3,33.3,16.6,16.6,31,21.5,16.8,31,31
BA,3,185,35.8,41.2,16.7,33.1,34.1,33.1,15.8,15.8,31.1,21,16.6,31.1,31.1
BA,3,190,35.8,41.2,16.3,32.9,33.9,32.9,14.9,14.9,31.1,20.5,16.4,31.1,31.1
BA,3,195,35.8,41.2,15.9,32.7,33.7,32.7,14,14,31.1,20,16.2,31.1,31.1
BA,3,200,35.8,41.2,15.5,32.5,33.5,32.5,13.2,13.2,31.1,19.5,16,31.1,31.1
BA,3,205,35.8,41.2,15.1,32.3,33.3,32.3,12.3,12.3,31.1,19,15.8,31.1,31.1
BA,3,210,35.8,41.2,14.7,32.1,33.1,32.1,11.5,11.5,31.1,18.5,15.6,31.1,31.1
BA,3,215,35.8,41.2,14.3,31.9,32.9,31.9,10.6,10.6,31.1,18,15.4,31.1,31.1
BA,3,220,35.8,41.2,13.9,31.7,32.7,31.7,9.7,9.7,31.1,17.5,15.2,31.1,31.1
BA,3,225,35.8,41.2,13.5,31.5,32.4,31.5,8.9,8.9,31.1,17,15,31.1,31.1
BA,3,230,35.8,41.2,13.1,31.3,32.2,31.3,8,8,31.1,16.5,14.8,31.1,31.1
BA,3,235,35.8,41.2,12.7,31.1,32,31.1,7.2,7.2,31.1,16,14.6,31.1,31.1
BA,3,240,35.8,41.2,12.3,30.9,31.8,30.9,6.3,6.3,31.1,15.5,14.4,31.1,31.1
BA,3,245,35.8,41.2,12.3,30.9,31.8,30.9,6.3,6.3,31.1,15.5,14.4,31.1,31.1
BA,3,250,35.8,41.2,12.3,30.9,31.8,30.9,6.3,6.3,31.1,15.5,14.4,31.1,31.1
BA,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0
BA,4,15,8.8,12.7,10.6,0,0,0,0,0,5.3,10.3,5.9,5.3,5.3
BA,4,20,13.9,15.5,14,0,0,0,0,0,7.4,13.5,9,7.4,7.4
BA,4,25,18.3,20.2,16.4,3.8,3.9,3.8,2.7,2.7,9.4,16.6,11.9,9.4,9.4
BA,4,30,21.9,24.1,18.2,7.3,7.5,7.3,5.1,5.1,11.2,19,14.5,11.2,11.2
BA,4,35,24.9,27.4,19.4,10.3,10.6,10.3,7.2,7.2,12.9,21.3,16.4,12.9,12.9
BA,4,40,27.2,29.9,20.3,13,13.4,13,9.1,9.1,14.4,32.2,18,14.4,14.4
BA,4,45,28.9,32,21.1,15.5,16,15.5,10.9,10.9,15.8,24.7,18.9,15.8,15.8
BA,4,50,30.3,33.7,21.7,17.8,18.3,17.8,12.5,12.5,17.1,26.2,19.8,17.1,17.1
